STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,Activiy level,WEEKEND,WEEK,SEASON
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,Influenza Information,Level 3,Minimal,1,Feb-23-2013,8,2012-13
Tennessee,http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html,Influenza-Like Illness Surveillance Summary Archive,Level 2,Minimal,1,Feb-23-2013,8,2012-13
Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,Level 5,Low,2,Feb-23-2013,8,2012-13
Utah,http://health.utah.gov/epi/diseases/influenza/surveillance/index.html,Seasonal Influenza Weekly Update,Level 6,Moderate,3,Feb-23-2013,8,2012-13
Vermont,http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance,Flu Activity,Level 4,Low,2,Feb-23-2013,8,2012-13
Virginia,http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/,Virginia Weekly Influenza Activity Report,Level 7,Moderate,3,Feb-23-2013,8,2012-13
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,Influenza Update,Level 3,Minimal,1,Feb-23-2013,8,2012-13
West Virginia,http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx,Current Influenza Surveillance,Level 2,Minimal,1,Feb-23-2013,8,2012-13
Wisconsin,http://www.dhs.wisconsin.gov/communicable/influenza/index.htm,Tracking Influenza in Wisconsin,Level 1,Minimal,1,Feb-23-2013,8,2012-13
Wyoming,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/,Influenza,Level 4,Low,2,Feb-23-2013,8,2012-13
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,0,Feb-23-2013,8,2012-13
New York City,http://www1.nyc.gov/site/doh/providers/health-topics/flu-alerts.page,Surveillance Data,Level 7,Moderate,3,Feb-23-2013,8,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,2,Mar-02-2013,9,2012-13
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Level 1,Minimal,1,Mar-02-2013,9,2012-13
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Level 4,Low,2,Mar-02-2013,9,2012-13
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 1,Minimal,1,Mar-02-2013,9,2012-13
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Level 2,Minimal,1,Mar-02-2013,9,2012-13
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Level 4,Low,2,Mar-02-2013,9,2012-13
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,Flu Statistics,Level 2,Minimal,1,Mar-02-2013,9,2012-13
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,Weekly Influenza Surveillance Reports,Level 2,Minimal,1,Mar-02-2013,9,2012-13
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 2,Minimal,1,Mar-02-2013,9,2012-13
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,Level 1,Minimal,1,Mar-02-2013,9,2012-13
Georgia,https://dph.georgia.gov/flu-activity-georgia,Weekly Influenza Surveillance in Georgia,Level 4,Low,2,Mar-02-2013,9,2012-13
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,Hawaii's Influenza Surveillance Program,Level 4,Low,2,Mar-02-2013,9,2012-13
Idaho,http://flu.idaho.gov,Influenza,Level 1,Minimal,1,Mar-02-2013,9,2012-13
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,Seasonal Influenza Surveillance Reports,Level 5,Low,2,Mar-02-2013,9,2012-13
Indiana,http://www.in.gov/isdh/22104.htm,Influenza in Indiana,Level 5,Low,2,Mar-02-2013,9,2012-13
Iowa,http://idph.iowa.gov/influenza/surveillance,Iowa Influenza Surveillance Network,Level 1,Minimal,1,Mar-02-2013,9,2012-13
Kansas,http://www.kdheks.gov/flu/surveillance.htm,Influenza Information,Level 3,Minimal,1,Mar-02-2013,9,2012-13
Kentucky,https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx,Influenza - Flu,Level 2,Minimal,1,Mar-02-2013,9,2012-13
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,Influenza,Level 3,Minimal,1,Mar-02-2013,9,2012-13
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,Weekly Surveillance Updates,Level 1,Minimal,1,Mar-02-2013,9,2012-13
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,Influenza Surveillance,Level 3,Minimal,1,Mar-02-2013,9,2012-13
Massachusetts,https://www.mass.gov/influenza,Influenza Surveillance Data,Level 2,Minimal,1,Mar-02-2013,9,2012-13
Michigan,http://www.michigan.gov/mdch/0%2C1607%2C7-132-2940_2955_22779_40563_48357-191722--%2C00.html,Influenza Activity and Surveillance,Level 5,Low,2,Mar-02-2013,9,2012-13
Minnesota,http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html,Weekly Influenza Activity: Statistics,Level 3,Minimal,1,Mar-02-2013,9,2012-13
Mississippi,http://www.msdh.state.ms.us/msdhsite/_static/14%2C0%2C199%2C230.html,Mississippi Flu Surveillance and Influenza-Like Illness Reports,Level 5,Low,2,Mar-02-2013,9,2012-13
Missouri,http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php,Influenza Data & Statistical Reports ,Level 3,Minimal,1,Mar-02-2013,9,2012-13
Montana,http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx,Influenza: What You Need to Know,Level 1,Minimal,1,Mar-02-2013,9,2012-13
Nebraska,http://dhhs.ne.gov/publichealth/Pages/flu.aspx,Weekly Flu Report,Level 4,Low,2,Mar-02-2013,9,2012-13
"Nevada,http://dpbh.nv.gov/Programs/OPHIE/dta/Publications/Public_Health_Informatics_and_Epidemiology_(OPHIE)_-_Publications/,""Influenza (Flu): Surveillance, News Releases and Brochures"",Level 7,Moderate,3,Mar-02-2013,9,2012-13"
New Hampshire,http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm,Influenza Control and Surveillance,Level 1,Minimal,1,Mar-02-2013,9,2012-13
New Jersey,http://www.nj.gov/health/cd/topics/flu.shtml,Seasonal Influenza - Surveillance,Level 4,Low,2,Mar-02-2013,9,2012-13
New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,Level 1,Minimal,1,Mar-02-2013,9,2012-13
"New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,""Influenza Activity, Surveillance and Reports"",Level 3,Minimal,1,Mar-02-2013,9,2012-13"
North Carolina,http://www.flu.nc.gov/%20,North Carolina Influenza Update,Level 1,Minimal,1,Mar-02-2013,9,2012-13
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 2,Minimal,1,Mar-02-2013,9,2012-13
Ohio,http://www.flu.ohio.gov%20,Influenza Information,Level 3,Minimal,1,Mar-02-2013,9,2012-13
Oklahoma,https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html,Influenza Information,Level 1,Minimal,1,Mar-02-2013,9,2012-13
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,Influenza Disease Surveillance Data,Level 4,Low,2,Mar-02-2013,9,2012-13
Pennsylvania,http://www.flufreepa.com,Influenza Weekly Report ,Level 1,Minimal,1,Mar-02-2013,9,2012-13
Rhode Island,http://www.health.ri.gov/data/flu/index.php,Influenza Surveillance,Level 1,Minimal,1,Mar-02-2013,9,2012-13
South Carolina,http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/,Influenza Activity and Surveillance,Level 2,Minimal,1,Mar-02-2013,9,2012-13
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,Influenza Information,Level 3,Minimal,1,Mar-02-2013,9,2012-13
Tennessee,http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html,Influenza-Like Illness Surveillance Summary Archive,Level 1,Minimal,1,Mar-02-2013,9,2012-13
Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,Level 5,Low,2,Mar-02-2013,9,2012-13
Utah,http://health.utah.gov/epi/diseases/influenza/surveillance/index.html,Seasonal Influenza Weekly Update,Level 5,Low,2,Mar-02-2013,9,2012-13
Vermont,http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance,Flu Activity,Level 6,Moderate,3,Mar-02-2013,9,2012-13
Virginia,http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/,Virginia Weekly Influenza Activity Report,Level 7,Moderate,3,Mar-02-2013,9,2012-13
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,Influenza Update,Level 3,Minimal,1,Mar-02-2013,9,2012-13
West Virginia,http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx,Current Influenza Surveillance,Level 1,Minimal,1,Mar-02-2013,9,2012-13
Wisconsin,http://www.dhs.wisconsin.gov/communicable/influenza/index.htm,Tracking Influenza in Wisconsin,Level 1,Minimal,1,Mar-02-2013,9,2012-13
Wyoming,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/,Influenza,Level 1,Minimal,1,Mar-02-2013,9,2012-13
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,0,Mar-02-2013,9,2012-13
New York City,http://www1.nyc.gov/site/doh/providers/health-topics/flu-alerts.page,Surveillance Data,Level 5,Low,2,Mar-02-2013,9,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,2,Mar-09-2013,10,2012-13
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Level 1,Minimal,1,Mar-09-2013,10,2012-13
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Level 2,Minimal,1,Mar-09-2013,10,2012-13
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 1,Minimal,1,Mar-09-2013,10,2012-13
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Level 3,Minimal,1,Mar-09-2013,10,2012-13
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Level 3,Minimal,1,Mar-09-2013,10,2012-13
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,Flu Statistics,Level 2,Minimal,1,Mar-09-2013,10,2012-13
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,Weekly Influenza Surveillance Reports,Level 2,Minimal,1,Mar-09-2013,10,2012-13
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 3,Minimal,1,Mar-09-2013,10,2012-13
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,Level 2,Minimal,1,Mar-09-2013,10,2012-13
Georgia,https://dph.georgia.gov/flu-activity-georgia,Weekly Influenza Surveillance in Georgia,Level 5,Low,2,Mar-09-2013,10,2012-13
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,Hawaii's Influenza Surveillance Program,Level 5,Low,2,Mar-09-2013,10,2012-13
Idaho,http://flu.idaho.gov,Influenza,Level 1,Minimal,1,Mar-09-2013,10,2012-13
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,Seasonal Influenza Surveillance Reports,Level 4,Low,2,Mar-09-2013,10,2012-13
Indiana,http://www.in.gov/isdh/22104.htm,Influenza in Indiana,Level 4,Low,2,Mar-09-2013,10,2012-13
Iowa,http://idph.iowa.gov/influenza/surveillance,Iowa Influenza Surveillance Network,Level 2,Minimal,1,Mar-09-2013,10,2012-13
Kansas,http://www.kdheks.gov/flu/surveillance.htm,Influenza Information,Level 2,Minimal,1,Mar-09-2013,10,2012-13
Kentucky,https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx,Influenza - Flu,Level 2,Minimal,1,Mar-09-2013,10,2012-13
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,Influenza,Level 4,Low,2,Mar-09-2013,10,2012-13
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,Weekly Surveillance Updates,Level 1,Minimal,1,Mar-09-2013,10,2012-13
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,Influenza Surveillance,Level 8,High,4,Mar-09-2013,10,2012-13
Massachusetts,https://www.mass.gov/influenza,Influenza Surveillance Data,Level 3,Minimal,1,Mar-09-2013,10,2012-13
Michigan,http://www.michigan.gov/mdch/0%2C1607%2C7-132-2940_2955_22779_40563_48357-191722--%2C00.html,Influenza Activity and Surveillance,Level 4,Low,2,Mar-09-2013,10,2012-13
Minnesota,http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html,Weekly Influenza Activity: Statistics,Level 3,Minimal,1,Mar-09-2013,10,2012-13
Mississippi,http://www.msdh.state.ms.us/msdhsite/_static/14%2C0%2C199%2C230.html,Mississippi Flu Surveillance and Influenza-Like Illness Reports,Level 6,Moderate,3,Mar-09-2013,10,2012-13
Missouri,http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php,Influenza Data & Statistical Reports ,Level 3,Minimal,1,Mar-09-2013,10,2012-13
Montana,http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx,Influenza: What You Need to Know,Level 1,Minimal,1,Mar-09-2013,10,2012-13
Nebraska,http://dhhs.ne.gov/publichealth/Pages/flu.aspx,Weekly Flu Report,Level 1,Minimal,1,Mar-09-2013,10,2012-13
"Nevada,http://dpbh.nv.gov/Programs/OPHIE/dta/Publications/Public_Health_Informatics_and_Epidemiology_(OPHIE)_-_Publications/,""Influenza (Flu): Surveillance, News Releases and Brochures"",Level 5,Low,2,Mar-09-2013,10,2012-13"
New Hampshire,http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm,Influenza Control and Surveillance,Level 1,Minimal,1,Mar-09-2013,10,2012-13
New Jersey,http://www.nj.gov/health/cd/topics/flu.shtml,Seasonal Influenza - Surveillance,Level 6,Moderate,3,Mar-09-2013,10,2012-13
New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,Level 1,Minimal,1,Mar-09-2013,10,2012-13
"New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,""Influenza Activity, Surveillance and Reports"",Level 2,Minimal,1,Mar-09-2013,10,2012-13"
North Carolina,http://www.flu.nc.gov/%20,North Carolina Influenza Update,Level 1,Minimal,1,Mar-09-2013,10,2012-13
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 4,Low,2,Mar-09-2013,10,2012-13
Ohio,http://www.flu.ohio.gov%20,Influenza Information,Level 1,Minimal,1,Mar-09-2013,10,2012-13
Oklahoma,https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html,Influenza Information,Level 1,Minimal,1,Mar-09-2013,10,2012-13
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,Influenza Disease Surveillance Data,Level 1,Minimal,1,Mar-09-2013,10,2012-13
Pennsylvania,http://www.flufreepa.com,Influenza Weekly Report ,Level 1,Minimal,1,Mar-09-2013,10,2012-13
Rhode Island,http://www.health.ri.gov/data/flu/index.php,Influenza Surveillance,Level 1,Minimal,1,Mar-09-2013,10,2012-13
South Carolina,http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/,Influenza Activity and Surveillance,Level 3,Minimal,1,Mar-09-2013,10,2012-13
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,Influenza Information,Level 3,Minimal,1,Mar-09-2013,10,2012-13
Tennessee,http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html,Influenza-Like Illness Surveillance Summary Archive,Level 4,Low,2,Mar-09-2013,10,2012-13
Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,Level 5,Low,2,Mar-09-2013,10,2012-13
Utah,http://health.utah.gov/epi/diseases/influenza/surveillance/index.html,Seasonal Influenza Weekly Update,Level 4,Low,2,Mar-09-2013,10,2012-13
Vermont,http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance,Flu Activity,Level 4,Low,2,Mar-09-2013,10,2012-13
Virginia,http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/,Virginia Weekly Influenza Activity Report,Level 7,Moderate,3,Mar-09-2013,10,2012-13
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,Influenza Update,Level 2,Minimal,1,Mar-09-2013,10,2012-13
West Virginia,http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx,Current Influenza Surveillance,Level 2,Minimal,1,Mar-09-2013,10,2012-13
Wisconsin,http://www.dhs.wisconsin.gov/communicable/influenza/index.htm,Tracking Influenza in Wisconsin,Level 1,Minimal,1,Mar-09-2013,10,2012-13
Wyoming,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/,Influenza,Level 1,Minimal,1,Mar-09-2013,10,2012-13
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,0,Mar-09-2013,10,2012-13
New York City,http://www1.nyc.gov/site/doh/providers/health-topics/flu-alerts.page,Surveillance Data,Level 6,Moderate,3,Mar-09-2013,10,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 5,Low,2,Mar-16-2013,11,2012-13
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Level 1,Minimal,1,Mar-16-2013,11,2012-13
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Level 2,Minimal,1,Mar-16-2013,11,2012-13
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 1,Minimal,1,Mar-16-2013,11,2012-13
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Level 1,Minimal,1,Mar-16-2013,11,2012-13
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Level 3,Minimal,1,Mar-16-2013,11,2012-13
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,Flu Statistics,Level 1,Minimal,1,Mar-16-2013,11,2012-13
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,Weekly Influenza Surveillance Reports,Level 2,Minimal,1,Mar-16-2013,11,2012-13
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 2,Minimal,1,Mar-16-2013,11,2012-13
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,Level 2,Minimal,1,Mar-16-2013,11,2012-13
Georgia,https://dph.georgia.gov/flu-activity-georgia,Weekly Influenza Surveillance in Georgia,Level 1,Minimal,1,Mar-16-2013,11,2012-13
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,Hawaii's Influenza Surveillance Program,Level 2,Minimal,1,Mar-16-2013,11,2012-13
Idaho,http://flu.idaho.gov,Influenza,Level 1,Minimal,1,Mar-16-2013,11,2012-13
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,Seasonal Influenza Surveillance Reports,Level 5,Low,2,Mar-16-2013,11,2012-13
Indiana,http://www.in.gov/isdh/22104.htm,Influenza in Indiana,Level 4,Low,2,Mar-16-2013,11,2012-13
Iowa,http://idph.iowa.gov/influenza/surveillance,Iowa Influenza Surveillance Network,Level 1,Minimal,1,Mar-16-2013,11,2012-13
Kansas,http://www.kdheks.gov/flu/surveillance.htm,Influenza Information,Level 1,Minimal,1,Mar-16-2013,11,2012-13
Kentucky,https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx,Influenza - Flu,Level 2,Minimal,1,Mar-16-2013,11,2012-13
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,Influenza,Level 5,Low,2,Mar-16-2013,11,2012-13
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,Weekly Surveillance Updates,Level 1,Minimal,1,Mar-16-2013,11,2012-13
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,Influenza Surveillance,Level 3,Minimal,1,Mar-16-2013,11,2012-13
Massachusetts,https://www.mass.gov/influenza,Influenza Surveillance Data,Level 2,Minimal,1,Mar-16-2013,11,2012-13
Michigan,http://www.michigan.gov/mdch/0%2C1607%2C7-132-2940_2955_22779_40563_48357-191722--%2C00.html,Influenza Activity and Surveillance,Level 6,Moderate,3,Mar-16-2013,11,2012-13
Minnesota,http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html,Weekly Influenza Activity: Statistics,Level 4,Low,2,Mar-16-2013,11,2012-13
Mississippi,http://www.msdh.state.ms.us/msdhsite/_static/14%2C0%2C199%2C230.html,Mississippi Flu Surveillance and Influenza-Like Illness Reports,Level 7,Moderate,3,Mar-16-2013,11,2012-13
Missouri,http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php,Influenza Data & Statistical Reports ,Level 2,Minimal,1,Mar-16-2013,11,2012-13
Montana,http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx,Influenza: What You Need to Know,Level 3,Minimal,1,Mar-16-2013,11,2012-13
Nebraska,http://dhhs.ne.gov/publichealth/Pages/flu.aspx,Weekly Flu Report,Level 1,Minimal,1,Mar-16-2013,11,2012-13
"Nevada,http://dpbh.nv.gov/Programs/OPHIE/dta/Publications/Public_Health_Informatics_and_Epidemiology_(OPHIE)_-_Publications/,""Influenza (Flu): Surveillance, News Releases and Brochures"",Level 6,Moderate,3,Mar-16-2013,11,2012-13"
New Hampshire,http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm,Influenza Control and Surveillance,Level 1,Minimal,1,Mar-16-2013,11,2012-13
New Jersey,http://www.nj.gov/health/cd/topics/flu.shtml,Seasonal Influenza - Surveillance,Level 6,Moderate,3,Mar-16-2013,11,2012-13
New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,Level 1,Minimal,1,Mar-16-2013,11,2012-13
"New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,""Influenza Activity, Surveillance and Reports"",Level 3,Minimal,1,Mar-16-2013,11,2012-13"
North Carolina,http://www.flu.nc.gov/%20,North Carolina Influenza Update,Level 2,Minimal,1,Mar-16-2013,11,2012-13
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 3,Minimal,1,Mar-16-2013,11,2012-13
Ohio,http://www.flu.ohio.gov%20,Influenza Information,Level 1,Minimal,1,Mar-16-2013,11,2012-13
Oklahoma,https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html,Influenza Information,Level 1,Minimal,1,Mar-16-2013,11,2012-13
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,Influenza Disease Surveillance Data,Level 3,Minimal,1,Mar-16-2013,11,2012-13
Pennsylvania,http://www.flufreepa.com,Influenza Weekly Report ,Level 1,Minimal,1,Mar-16-2013,11,2012-13
Rhode Island,http://www.health.ri.gov/data/flu/index.php,Influenza Surveillance,Level 1,Minimal,1,Mar-16-2013,11,2012-13
South Carolina,http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/,Influenza Activity and Surveillance,Level 3,Minimal,1,Mar-16-2013,11,2012-13
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,Influenza Information,Level 3,Minimal,1,Mar-16-2013,11,2012-13
Tennessee,http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html,Influenza-Like Illness Surveillance Summary Archive,Level 3,Minimal,1,Mar-16-2013,11,2012-13
Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,Level 4,Low,2,Mar-16-2013,11,2012-13
Utah,http://health.utah.gov/epi/diseases/influenza/surveillance/index.html,Seasonal Influenza Weekly Update,Level 4,Low,2,Mar-16-2013,11,2012-13
Vermont,http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance,Flu Activity,Level 1,Minimal,1,Mar-16-2013,11,2012-13
Virginia,http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/,Virginia Weekly Influenza Activity Report,Level 6,Moderate,3,Mar-16-2013,11,2012-13
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,Influenza Update,Level 1,Minimal,1,Mar-16-2013,11,2012-13
West Virginia,http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx,Current Influenza Surveillance,Level 1,Minimal,1,Mar-16-2013,11,2012-13
Wisconsin,http://www.dhs.wisconsin.gov/communicable/influenza/index.htm,Tracking Influenza in Wisconsin,Level 1,Minimal,1,Mar-16-2013,11,2012-13
Wyoming,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/,Influenza,Level 1,Minimal,1,Mar-16-2013,11,2012-13
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,0,Mar-16-2013,11,2012-13
New York City,http://www1.nyc.gov/site/doh/providers/health-topics/flu-alerts.page,Surveillance Data,Level 5,Low,2,Mar-16-2013,11,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 5,Low,2,Mar-23-2013,12,2012-13
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Level 1,Minimal,1,Mar-23-2013,12,2012-13
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Level 1,Minimal,1,Mar-23-2013,12,2012-13
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 1,Minimal,1,Mar-23-2013,12,2012-13
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Level 1,Minimal,1,Mar-23-2013,12,2012-13
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Level 2,Minimal,1,Mar-23-2013,12,2012-13
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,Flu Statistics,Level 1,Minimal,1,Mar-23-2013,12,2012-13
